,Title,Link,Day,Time,Where,Image link
0,🇦🇪 UAE (Dubai) آزاد ویزہ *FreeLance visa 2 years Family_visa Partner_visa C&W +971526970752 (UAE),https://www.facebook.com/events/1432635647587387/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SUN, 10 SEP AT 11:40 UTC+04,United Arab Emirates Dubai,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/368046032_809612357535108_2822144058308223184_n.jpg?stp=c0.18.168.112a_dst-jpg_p168x128&_nc_cat=102&ccb=1-7&_nc_sid=934829&_nc_ohc=YDRyALGUoFkAX-Lgw5J&_nc_ht=scontent.fbho2-1.fna&oh=00_AfCf-T_nmE3iSFKve_5vfXJ6nMmOtg5YHNo_EN3FlVUYaQ&oe=64FE4128
1,Career Planning for Job seekers,https://www.facebook.com/events/1287618238527873/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 9 SEP AT 10:00 UTC+04 AND 1 MORE,Café Le Flair,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/372623083_276393105135710_5048783163358245267_n.jpg?stp=c0.36.168.112a_cp6_dst-jpg_p168x128&_nc_cat=109&ccb=1-7&_nc_sid=934829&_nc_ohc=eUWLobkcu00AX-4-BEb&_nc_ht=scontent.fbho2-1.fna&oh=00_AfCTbo56ibBOSLUVLGkYlCSW2-uky7ipcyizwPdBTaGhpw&oe=64FDA74A
2,ZIEEL EXHIBITIONS BY MISHBROS ADVERTISING & EVENTS -,https://www.facebook.com/events/617412890374331/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 9 SEP AT 10:00 UTC+04,Grand Excelsior Hotel Bur Dubai,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/363834119_6460909933986564_5782481663196764661_n.jpg?stp=c0.18.168.112a_dst-jpg_p168x128&_nc_cat=100&ccb=1-7&_nc_sid=934829&_nc_ohc=4IX25GDrfhoAX8P-ApZ&_nc_ht=scontent.fbho2-1.fna&oh=00_AfCxE-kQ7R3kYoybuQPyU86GzHfVLFMcny1CzBRD0Qk7lw&oe=64FCF8F9
3,URBAN Brunch,https://www.facebook.com/events/565016665803307/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 9 SEP AT 13:00 UTC+04 AND 3 MORE,Swissôtel Al Murooj Dubai,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/352549962_552733133492476_3181635147522733081_n.jpg?stp=c150.0.1620.1080a_dst-jpg_s168x128&_nc_cat=109&ccb=1-7&_nc_sid=934829&_nc_ohc=3rA9zBWwaaUAX9SnEPW&_nc_ht=scontent.fbho2-1.fna&oh=00_AfDFDXrAJzUkj1HlOQvK4aSb12W2nNOX6tgMRqWYTtm4CA&oe=64FE31AD
4,Tuesday Ladies Night,https://www.facebook.com/events/1084520265862332/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,TUE, 12 SEP AT 18:00 UTC+04 AND 47 MORE,McCafferty's Yas Island,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/366369710_274222588692187_5254329795282393470_n.jpg?stp=c129.0.942.628a_dst-jpg_s168x128&_nc_cat=111&ccb=1-7&_nc_sid=934829&_nc_ohc=1rct-iBWregAX9lcLJJ&_nc_ht=scontent.fbho2-1.fna&oh=00_AfC4qb0yebeXC5ivQbKT2pHQ8Y1-xQfMmkISq0IxUQRKWA&oe=64FD37F8
5,Arabic Nights,https://www.facebook.com/events/518535007153297/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,WED, 6 SEP AT 21:00 UTC+04 AND 16 MORE,Radisson RED Hotel Dubai Silicon Oasis,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/337401229_5844557885652637_7197963811170581017_n.jpg?stp=c150.0.1620.1080a_dst-jpg_s168x128&_nc_cat=111&ccb=1-7&_nc_sid=934829&_nc_ohc=fAwfh8J3T3AAX-GqU7J&_nc_ht=scontent.fbho2-1.fna&oh=00_AfAYTdagoHgjc-YqBgbAiZBbL5WQmBeGl1h9IKgs3E90Wg&oe=64FE839D
6,DUBAI GLAM 2023 TOUR 8,https://www.facebook.com/events/1717125882021262/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 23 SEP-1 OCT,23 interested · 1 going,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/311126970_8035561519848964_2748452608888025464_n.jpg?stp=c0.18.168.112a_dst-jpg_p168x128&_nc_cat=107&ccb=1-7&_nc_sid=934829&_nc_ohc=XeV0ObbtTvoAX92LNbA&_nc_oc=AQliAaRVtzaQhnx1GzPvigWvN1zkSEN64R2ObeVMTbIHBGj9anjUCtztjpGTUnMJfbWugS-g68AhEP7FhLBo2hD4&_nc_ht=scontent.fbho2-1.fna&oh=00_AfBdsBeZ45DEg2wmW1-DR4Dl7y61aqkC7U6FtMUdYYwtBw&oe=64FDB18F
7,"All UAE Family Visa,Freelance Visa,Tenancy( 450 AED).0558440139",https://www.facebook.com/events/148675704932267/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,WED, 6 SEP,"Dubai, United Arab Emirates",https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/365242247_3650466208610808_4287936646178578929_n.jpg?stp=c0.9.168.112a_dst-jpg_p168x128&_nc_cat=102&ccb=1-7&_nc_sid=934829&_nc_ohc=Bh34jGyeAE8AX9vOnlr&_nc_ht=scontent.fbho2-1.fna&oh=00_AfBZzNFuyhUU-uifWhKEL8UXu3jryM6GrH7GCzlBBIgZ-A&oe=64FD2B82
8,THE DUBAI EXPERIENCE,https://www.facebook.com/events/5736029219793843/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SUN, 24 SEP-29 SEP,Dubai United Arab Emirates UAE,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/315291418_111820531742216_7524076294181484723_n.jpg?stp=c206.0.548.365a_dst-jpg_s168x128&_nc_cat=105&ccb=1-7&_nc_sid=934829&_nc_ohc=OPZpXIaHdiYAX_IEVId&_nc_ht=scontent.fbho2-1.fna&oh=00_AfBZx7_ujCbUKUxpumjvPMcDcE0cCeGiiHPSd8Ku2UJ1BA&oe=64FDAB5C
9,Zamzam Electronic shop Dubai,https://www.facebook.com/events/807312257686078/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,FRI, 1 MAR 2024 AT 00:00 UTC+04,Online,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/369539889_173706065739377_7925668598573900608_n.jpg?stp=c0.7.164.109a_dst-jpg_p130x130&_nc_cat=101&ccb=1-7&_nc_sid=934829&_nc_ohc=jBUiTMCheEQAX_H9WyL&_nc_ht=scontent.fbho2-1.fna&oh=00_AfAelMzz-MsOM877iG7_0TlmmpcGd7bRd7EcL4q8N2q1rA&oe=64FD39CC
