,Title,Link,Day,Time,Where,Image link
0,MotoGP: La India,https://www.facebook.com/events/764455695447591/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SUN, 24 SEP AT 09:00 UTC+02,Route Bar Castelldefels,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/374496022_339044161976519_649088719675164556_n.jpg?stp=c0.30.1080.720a_dst-jpg_s168x128&_nc_cat=109&ccb=1-7&_nc_sid=934829&_nc_ohc=BB8G6ORBsu4AX-MxA3k&_nc_ht=scontent.fbho3-1.fna&oh=00_AfCyEFDxWCwyVgmJMyQIKPIPmSsR3URBGWt11ArMAJaMIA&oe=650C9DFD
1,LDF India 2023,https://www.facebook.com/events/842723260082468/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,THURS, 21 SEP-23 SEP,"HITEX Exhibition Centre, Hyderabad",https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/359747694_647405357408424_369042499769713642_n.jpg?stp=c129.0.942.628a_dst-jpg_s168x128&_nc_cat=106&ccb=1-7&_nc_sid=934829&_nc_ohc=c6bP3SDohbwAX-Fx9yr&_nc_ht=scontent.fbho3-2.fna&oh=00_AfCm4wqV_ORkZdVPnZVwyrcw0rQucDDuHd8KS9PF2aimaA&oe=650DE1C6
2,𝐅𝐁𝐎 𝐈𝐍𝐃𝐈𝐀 𝟐𝟎𝟐𝟑 - 𝐀𝐇𝐌𝐄𝐃𝐀𝐁𝐀𝐃,https://www.facebook.com/events/2018256251850349/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SUN, 24 SEP AT 09:30 UTC+05:30,Pride Plaza,https://scontent.fbho3-3.fna.fbcdn.net/v/t39.30808-6/375283591_279122198203754_2638536434900649552_n.jpg?stp=c170.0.1160.773a_dst-jpg_s168x128&_nc_cat=101&ccb=1-7&_nc_sid=934829&_nc_ohc=wdnHihlrFoEAX-PKDJ7&_nc_ht=scontent.fbho3-3.fna&oh=00_AfA8w0aov_m8nrKWCu192mfnaDO6voV1vdzfLQnr-ebDEA&oe=650CD424
3,WATER INDIA HYDERABAD,https://www.facebook.com/events/6583958395031926/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,THURS, 21 SEP-23 SEP,1 interested · 1 going,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/379257725_726310369511763_208051267157195531_n.jpg?stp=c344.0.912.608a_dst-jpg_s168x128&_nc_cat=109&ccb=1-7&_nc_sid=934829&_nc_ohc=4-uH7iY10IIAX9kZfFA&_nc_ht=scontent.fbho3-1.fna&oh=00_AfAxA1dbTnPLArH3vycr2QBONBPQP65a9_0cJLcVNkjC8Q&oe=650DD7C0
4,INDIA BIGGEST ENTREPRENEURSHIP EVENT,https://www.facebook.com/events/826683015795582/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SUN, 24 SEP AT 16:00 UTC+05:30,Indira Gandhi Stadium,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/363446843_838023174639175_5931265070088988760_n.jpg?stp=c0.18.168.112a_dst-jpg_p168x128&_nc_cat=103&ccb=1-7&_nc_sid=934829&_nc_ohc=hkHWwdnjXJAAX9mFnT7&_nc_ht=scontent.fbho3-1.fna&oh=00_AfAxwDzJvg2payQ_4xDxLq69NnHUY4rPLEc-qyaarr56aA&oe=650D19C4
5,Zaidad India's event,https://www.facebook.com/events/821395496386240/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,FRI, 22 SEP-25 SEP,1 going,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/370337832_228703613505562_3711179453784253069_n.jpg?stp=c0.10.168.112a_dst-jpg_p168x128&_nc_cat=105&ccb=1-7&_nc_sid=934829&_nc_ohc=9DUZ73kOQVYAX8GWoBH&_nc_ht=scontent.fbho3-2.fna&oh=00_AfCy6-xjLcQpueMM9o1tgJLWCzdeS48TWOwJvE6fNR1bng&oe=650D7052
6,Chennai UNLIMITED Book Fair : India's largest books sale,https://www.facebook.com/events/291880006793515/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,Today,Happening Now,7.1K interested · 1 going,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/367744583_768280218638934_8878139574229075486_n.jpg?stp=c150.0.1620.1080a_dst-jpg_s168x128&_nc_cat=109&ccb=1-7&_nc_sid=934829&_nc_ohc=iNLIfmaTaK0AX82UIcF&_nc_ht=scontent.fbho3-1.fna&oh=00_AfCmnN8M5SeO-GVp0m4a61nMsfLMlhflwPXgk4s7vOXzvw&oe=650E188B
7,India's Largest Entrepreneurship Event,https://www.facebook.com/events/957639418676885/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 23 SEP-24 SEP,Delhi,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/364208202_130298140124589_3453724890642588731_n.jpg?stp=c0.18.168.112a_dst-jpg_p168x128&_nc_cat=103&ccb=1-7&_nc_sid=934829&_nc_ohc=TA-7SvbY-iwAX9L4XKJ&_nc_ht=scontent.fbho3-1.fna&oh=00_AfCKEcbPyPGm3WMCe_MgMw54m9HFV3qjhEWv-ug_aG3I7A&oe=650CF6A7
8,Coimbatore Unlimited Book Fair : India's largest books sale,https://www.facebook.com/events/6681467978602762/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,FRI, 22 SEP-24 SEP,Meenakshi Hall,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/371350021_777639474369675_6980930383885785252_n.jpg?stp=c150.0.1620.1080a_dst-jpg_s168x128&_nc_cat=106&ccb=1-7&_nc_sid=934829&_nc_ohc=cqu2wuO5bgQAX9eKvQw&_nc_ht=scontent.fbho3-2.fna&oh=00_AfDXMiqkq-uTCbSiJXNKgnd5OeWqLDDSbmNzuDOceK1iMA&oe=650DD4CA
9,Entrepreneur launchpad (Biggest Event Ever In India),https://www.facebook.com/events/254143644049010/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 23 SEP-24 SEP,Indira Gandhi Stadium,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/362894154_239227342285070_4951548469038659616_n.jpg?stp=c150.0.1620.1080a_dst-jpg_s168x128&_nc_cat=109&ccb=1-7&_nc_sid=934829&_nc_ohc=s89Pj7DOBQYAX_nZLJx&_nc_ht=scontent.fbho3-1.fna&oh=00_AfD6cl1fAnD7ZsQiSVdRKrXQ3tqKaqb2jdGto7aBUvsOpw&oe=650C67D1
