,Title,Link,Day,Time,Where,Image link
0,Istanbul Rooftop Photoshoot,https://www.facebook.com/events/165514153234055/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,MON, 11 SEP AT 09:00 UTC+03 AND 34 MORE,Istanbulportrait,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/369808828_859825029044804_1766052765633546082_n.jpg?stp=c0.32.168.112a_dst-jpg_p168x128&_nc_cat=104&ccb=1-7&_nc_sid=934829&_nc_ohc=-KVTVMjGbRwAX9jEFUa&_nc_ht=scontent.fbho3-2.fna&oh=00_AfBcilkJ9y8wJDrkV4y_AG3l2CulyjQwv-t8jPd5QudfMQ&oe=6502F138
1,ISTANBUL HOCKEY FESTIVAL 2023,https://www.facebook.com/events/880799949732710/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,WED, 13 SEP-17 SEP,Zeytinburnu Buz Pisti,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/325589227_2018418058360567_3030135802917951292_n.jpg?stp=c0.40.1440.960a_dst-jpg_s168x128&_nc_cat=106&ccb=1-7&_nc_sid=934829&_nc_ohc=GE22OSm-nh0AX9m2-n4&_nc_ht=scontent.fbho3-2.fna&oh=00_AfC7EUM7Hw3O9Nwaod501bkfM9nMqfB7zOmr-HlVA3xlOA&oe=65024B39
2,"Istanbul: Cappadocia, Ephesus, & Pamukkale",https://www.facebook.com/events/157887657081417/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,FRI, 15 SEP AT 19:00 UTC+03 AND 24 MORE,"Turkey, Istanbul",https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/323588081_1504621150066629_2014070949284915344_n.jpg?stp=dst-jpg_s168x128&_nc_cat=100&ccb=1-7&_nc_sid=934829&_nc_ohc=ln9O2M_TdgQAX8Pk2Rk&_nc_ht=scontent.fbho3-1.fna&oh=00_AfBydY_uIp8e3fYSSCa9eQq16THKgF-ulc1uPr157kduHQ&oe=65038A6D
3,ISTANBUL 🌙 𝗠𝗬𝗦𝗧𝗜𝗖𝗔𝗟 𝗥𝗘𝗧𝗥𝗘𝗔𝗧 𝗢𝗙 𝗜𝗡𝗡𝗘𝗥 𝗘𝗩𝗢𝗟𝗨𝗧𝗜𝗢𝗡,https://www.facebook.com/events/223351600518086/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,THURS, 14 SEP-17 SEP,5 interested · 1 going,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/347252307_654242116724587_7649750868519741066_n.jpg?stp=c132.0.1438.959a_dst-jpg_s168x128&_nc_cat=102&ccb=1-7&_nc_sid=934829&_nc_ohc=F-Hz8NzZc14AX_L9JRt&_nc_ht=scontent.fbho3-1.fna&oh=00_AfDBbVqxZKjK_gXzHwYIwcxSAtHyVJmt9Qf7bMq6vU7Ehw&oe=65039C97
4,HEP İSTANBUL FULL EŞYALI 1+1 75m2 BALKONLU SATILIK DAİRE 2.300.000 TL İstanbul / Esenyurt Zafer Mh,https://www.facebook.com/events/268592226020178/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,Today,Happening Now,Hep Istanbul,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/376580147_787320356730365_980048088368109045_n.jpg?stp=c0.18.168.112a_dst-jpg_p168x128&_nc_cat=102&ccb=1-7&_nc_sid=934829&_nc_ohc=Mjjrp137sDwAX8yqEo2&_nc_ht=scontent.fbho3-1.fna&oh=00_AfAEgXTpwT6A7uGoFi0HPyt83hxE8LcjgsuMmgfi4pa_Jg&oe=650359F0
5,İSTANBUL PRESTİJ PARK 2+1 SATILIK DAİRE 2.815.000 TL İstanbul / Esenyurt / Zafer Mh.,https://www.facebook.com/events/1902390183475651/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,Today,Happening Now,Prestijpark Esenyurt Satılık Daire 0554 587 61 58,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/376624815_787322606730140_9199829182440017796_n.jpg?stp=c98.0.1404.936a_dst-jpg_s168x128&_nc_cat=102&ccb=1-7&_nc_sid=934829&_nc_ohc=JIH1-Vmm5YMAX-Tfkuo&_nc_ht=scontent.fbho3-1.fna&oh=00_AfCC0byGKNZQkcCuRYgCZmUuR2Z3bVXvjPJUgGWmOxDc7w&oe=65027B0B
6,İstanbul inşaat ustaları,https://www.facebook.com/events/3519240978403007/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SUN, 10 SEP,"Istanbul, Türkiye",https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/375068213_275388112016626_4989498624173101845_n.jpg?stp=c0.28.1079.719a_dst-jpg_s168x128&_nc_cat=103&ccb=1-7&_nc_sid=934829&_nc_ohc=ZWAYvx59y_sAX_KuyQi&_nc_ht=scontent.fbho3-1.fna&oh=00_AfAv2_CbyS2EDSQFZGojzOVq4IpGWorfKHiy0_gmujV56w&oe=6502BE0E
7,ISTANBUL,https://www.facebook.com/events/1509636942906650/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,WED, 13 SEP-17 SEP,8 interested · 2 going,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/364151956_303248718851755_2363219830996697960_n.jpg?stp=c83.0.554.369a_dst-jpg_s168x128&_nc_cat=110&ccb=1-7&_nc_sid=934829&_nc_ohc=tiyjcQCHngYAX_0fhzt&_nc_ht=scontent.fbho3-1.fna&oh=00_AfBpaQu0zCvThufbdixLSoS53NcOW5tIcgKsf_ks8SjbfQ&oe=650345E2
8,İstanbul inşaat ustası,https://www.facebook.com/events/1049210335987064/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SUN, 10 SEP,İstanbul Pendik,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/374737468_275368428685261_3141990240792585237_n.jpg?stp=c0.28.1079.719a_dst-jpg_s168x128&_nc_cat=111&ccb=1-7&_nc_sid=934829&_nc_ohc=viTMNyhvDAkAX-xe_Jg&_nc_ht=scontent.fbho3-2.fna&oh=00_AfC6fNZPJBZmJesbscSLNdl8UWruFSBQAIuIH3ZqkcVu_Q&oe=65035F84
9,İSTANBUL PRESTİJ PARK 3+1 174m2 HAVUZ MANZARALI SATILIK DAİRE 4.700.000 TL İstanbul / Esenyurt,https://www.facebook.com/events/270735252565838/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,Today,Happening Now,istanbul prestijpark residence B7 blok,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/375217856_787323550063379_6511870996554908022_n.jpg?stp=c0.6.168.112a_dst-jpg_p168x128&_nc_cat=106&ccb=1-7&_nc_sid=934829&_nc_ohc=Kgp6OVIC3bYAX-rdmYu&_nc_ht=scontent.fbho3-2.fna&oh=00_AfBBMtLUnDm3aDzAHNpVxrePPhLNfzOu31tfTb9nEL-awg&oe=65030692
10,Boris Brejcha In Concert 2023 - Istanbul,https://www.facebook.com/events/3467513950158523/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 16 SEP AT 16:00 UTC+03,KüçükÇiftlik Park,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/325493438_1545986549215122_2291166078787377603_n.jpg?stp=c421.0.731.487a_dst-jpg_s168x128&_nc_cat=100&ccb=1-7&_nc_sid=934829&_nc_ohc=OvM5quGHLIoAX9QBvFv&_nc_ht=scontent.fbho3-1.fna&oh=00_AfBZ210bMNw-L0E81-e_xhOI6W0aPSXukesHukITGvXjEQ&oe=650218A2
11,Istanbul: Guided Food Crawl of Street Food and Markets,https://www.facebook.com/events/271441618626589/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,Today,Happening Now,İstanbul Turkey,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/354072892_597822689116545_7339628057472097652_n.jpg?stp=c131.0.924.616a_dst-jpg_s168x128&_nc_cat=109&ccb=1-7&_nc_sid=934829&_nc_ohc=sOxJu8kx1tsAX_L0qAv&_nc_ht=scontent.fbho3-1.fna&oh=00_AfADahJT8-M9kmsCSXMBCFeJeGffwudCSLT5zQn3CJUQhQ&oe=6502AA07
12,"Ploho / Kadıköy Sahne, İstanbul / 16.09.2023",https://www.facebook.com/events/233065372519629/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 16 SEP AT 20:30 UTC+03,KadıköySahne,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/364014833_758452432750677_5914484499644029167_n.jpg?stp=c172.0.1577.1051a_dst-jpg_s168x128&_nc_cat=100&ccb=1-7&_nc_sid=934829&_nc_ohc=1wDTjSyzY3sAX-EaMCi&_nc_ht=scontent.fbho3-1.fna&oh=00_AfCivU6BQdbHmNMzxlcW5ftV3c3np-gbhtX8yYlYVxyyFA&oe=650314BF
13,Michelle Gurevich at Babylon Istanbul (SOLD-OUT),https://www.facebook.com/events/1381850995974913/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,WED, 13 SEP-15 SEP,91 interested · 25 going,https://scontent.fbho3-3.fna.fbcdn.net/v/t39.30808-6/318403290_698984361583377_754246727547019527_n.jpg?stp=dst-jpg_s168x128&_nc_cat=108&ccb=1-7&_nc_sid=934829&_nc_ohc=E3YoXxtKBsQAX8jZG25&_nc_ht=scontent.fbho3-3.fna&oh=00_AfD8CjI7CKqccAbM0Z9SECEUX0EiIC0vdEIpZ2kZ6Lz3tQ&oe=6502756C
14,Sultan's Brunch at Downtown Istanbul,https://www.facebook.com/events/970983034312932/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 16 SEP AT 11:00 UTC+10 AND 2 MORE,Downtown Istanbul,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/337395396_185926680847900_1077751082976146351_n.jpg?stp=c220.0.1608.1072a_dst-jpg_s168x128&_nc_cat=103&ccb=1-7&_nc_sid=934829&_nc_ohc=uA2lTBlPrrkAX-8cHOD&_nc_ht=scontent.fbho3-1.fna&oh=00_AfBg41e1Pv02BOx41CsnFU6OWiBop43NpAhdG9IuRpcxSQ&oe=6502521C
15,İstanbul Prestij Park SATILIK 135m2 3+1 BOŞ DAİRE 3.750.000 TL İstanbul / Esenyurt / Zafer Mh.,https://www.facebook.com/events/148510244974736/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,Today,Happening Now,istanbul prestijpark,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/375215951_787321283396939_317502126831131529_n.jpg?stp=c98.0.1404.936a_dst-jpg_s168x128&_nc_cat=111&ccb=1-7&_nc_sid=934829&_nc_ohc=XY3mWUQ_HMIAX8lHuFP&_nc_ht=scontent.fbho3-2.fna&oh=00_AfDAcqspImm7kcl57xXJYtU8TthWuuwpiB9zsZclghqVUA&oe=65029402
16,Sembol İstanbul Satılık 2+1 Ful Eşyalı Daire Home ofis 3.200.000 TL İstanbul / Esenyurt / Zafer Mh.,https://www.facebook.com/events/211538408343125/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,Today,Happening Now,sembol istanbul,https://scontent.fbho3-3.fna.fbcdn.net/v/t39.30808-6/376538915_787319683397099_7384783015504641565_n.jpg?stp=c0.29.1307.872a_dst-jpg_s168x128&_nc_cat=108&ccb=1-7&_nc_sid=934829&_nc_ohc=cXzo2XoI54MAX-4aGNy&_nc_ht=scontent.fbho3-3.fna&oh=00_AfAvBGZzoSH_zKJ7yckYkc7PGVYKIzsv3-oJvxAyClka7g&oe=650381A9
17,FRIDAY WELCOME TO ISTANBUL PUBCRAWL TOUR,https://www.facebook.com/events/254752980860797/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,FRI, 15 SEP AT 21:00 UTC+03 AND 15 MORE,"Cankurtaran, JUST BAR, SULTANAHMET, Akbıyık Cd. No:28, 34400 Fatih/İstanbul",https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/375065793_6880678561997035_2461840952679601243_n.jpg?stp=c0.18.168.112a_cp6_dst-jpg_p168x128&_nc_cat=107&ccb=1-7&_nc_sid=934829&_nc_ohc=wW7u81njoPAAX8gr988&_nc_ht=scontent.fbho3-2.fna&oh=00_AfDF0D3oRdV8I8vLcIr9eum3byfr_FHpGIDQhrLP6xOvww&oe=65023C40
18,SEMBOL İSTANBUL 1+1 BOŞ BALKONLU SATILIK DAİRE 2.200.000 TL İstanbul / Esenyurt / Zafer Mh.,https://www.facebook.com/events/266182913004621/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,Today,Happening Now,sembol istanbul,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/376490275_787324140063320_402125972311922248_n.jpg?stp=c0.29.1307.872a_dst-jpg_s168x128&_nc_cat=109&ccb=1-7&_nc_sid=934829&_nc_ohc=0Wef3ih4U5YAX_iGzIY&_nc_ht=scontent.fbho3-1.fna&oh=00_AfBa4AbaMI-bZ8eyOeoF2iT3A8MxRhdvZyJBfQEIeeu52w&oe=65022AB5
19,"Motsion w/ Granul | Şahika, Istanbul",https://www.facebook.com/events/1348968149355817/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,FRI, 15 SEP AT 22:00 UTC+02,"Şahika, Istanbul",https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/375074247_260438363612302_5853568442134719914_n.jpg?stp=c220.0.1608.1072a_dst-jpg_s168x128&_nc_cat=102&ccb=1-7&_nc_sid=934829&_nc_ohc=vKWPEv_D5MEAX-d8Pzk&_nc_ht=scontent.fbho3-1.fna&oh=00_AfCP0TWCmiMcWkjeNcq2-5J2l0taXEfyiJkWuINb1olJzA&oe=6503C0A9
20,SATURDAY WELCOME TO ISTANBUL PUBCRAWL TOUR,https://www.facebook.com/events/3119313318365028/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 16 SEP AT 21:00 UTC+03 AND 15 MORE,"Cankurtaran, JUST BAR, SULTANAHMET, Akbıyık Cd. No:28, 34400 Fatih/İstanbul",https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/374653039_6880691448662413_5918029232431903319_n.jpg?stp=c0.19.168.112a_cp6_dst-jpg_p168x128&_nc_cat=106&ccb=1-7&_nc_sid=934829&_nc_ohc=x7XY5bHSxAAAX8iwcTd&_nc_ht=scontent.fbho3-2.fna&oh=00_AfATvQnT4rhfRpAG7CYGyXeHVhz7sqnBZ5XbwIBKbEmuDQ&oe=65028BE6
21,13th GIIS & IRES Investment Migration Expo: Istanbul Turkey 2023,https://www.facebook.com/events/1326777511587033/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 16 SEP AT 10:00 UTC+03,Hilton Istanbul Bosphorus,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/366537939_759819526150451_220503532840732643_n.jpg?stp=c66.0.164.110a_dst-jpg_p296x100&_nc_cat=105&ccb=1-7&_nc_sid=934829&_nc_ohc=ngNwixMXFysAX-qclEt&_nc_ht=scontent.fbho3-2.fna&oh=00_AfB0jjR4E-ajzRja3QY7oyr09DvAnztmee4bILdmcM2O2A&oe=6502E693
