,Title,Link,Day,Time,Where,Image link
0,NEW YORK,https://www.facebook.com/events/689350946385374/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,THURS, 21 MAR 2024-27 MAR 2024,22 interested · 2 going,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/368233409_721838753289526_3328727734711618325_n.jpg?stp=c0.2.166.111a_dst-jpg_p118x118&_nc_cat=109&ccb=1-7&_nc_sid=934829&_nc_ohc=eA-ka1_RtV0AX_x6x8X&_nc_ht=scontent.fbho3-1.fna&oh=00_AfBdm_a-dBfDLyxijDl5exBrFfT1Ok-4KQfB_a9iIGeCMw&oe=6501F13A
1,New York Fashion Week,https://www.facebook.com/events/242717341672544/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,Today,Happening Now,144 interested · 41 going,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/342741512_5281005068669334_4244975152173970635_n.jpg?stp=c150.0.900.600a_dst-jpg_s168x128&_nc_cat=102&ccb=1-7&_nc_sid=934829&_nc_ohc=g4TTOid726wAX_MHAad&_nc_ht=scontent.fbho3-1.fna&oh=00_AfAZGetO2a1FDrCkzEIRhnUuMIXCgOQEhuMOge0q6GiXOQ&oe=6500E0C4
2,Afterlife New York 2023,https://www.facebook.com/events/878071873269754/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 9 SEP AT 22:00 EDT,The Brooklyn Mirage,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/366325735_668958798596345_3787911805314480277_n.jpg?stp=c206.0.1508.1005a_dst-jpg_s168x128&_nc_cat=100&ccb=1-7&_nc_sid=934829&_nc_ohc=Yj-t0vJg0L0AX-jvM65&_nc_ht=scontent.fbho3-1.fna&oh=00_AfCN0rWLlPVuMGkTPh_KijNV8q5ZWaK674OvDbLmuoU_8A&oe=6501873F
3,"New York, New York",https://www.facebook.com/events/1353071288173812/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,WED, 6 NOV 2024-13 NOV 2024,"New York, NY, United States",https://scontent.fbho3-3.fna.fbcdn.net/v/t1.6435-9/59752328_2279254982297407_398118325600649216_n.jpg?stp=dst-jpg_s168x128&_nc_cat=101&ccb=1-7&_nc_sid=340051&_nc_ohc=ZZT87n3xxJcAX_WKiZI&_nc_ht=scontent.fbho3-3.fna&oh=00_AfCSHlFWBBHRvkrIvGSGQ29ODyIdLBeOtymtAybc1Joz_A&oe=65239A33
5,Rata Blanca en New York,https://www.facebook.com/events/632992095079305/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 7 OCT AT 19:00 UTC-03,La Boom,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/349182000_1865844333785338_8428155486015462994_n.jpg?stp=c150.0.1620.1080a_dst-jpg_s168x128&_nc_cat=107&ccb=1-7&_nc_sid=934829&_nc_ohc=ZgK-_wIQlGIAX98cnL_&_nc_ht=scontent.fbho3-2.fna&oh=00_AfA_E8ZjUWVxH81HLtnEAAIlXT-j5C3BQETLQuTuCtk9BQ&oe=650134E0
6,New York Wedding Dress Designer Trunk Show - Design your own wedding dress,https://www.facebook.com/events/794688665658279/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,THURS, 12 OCT-15 OCT,WestHouse New York,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/357717729_298507582556159_9183649533949705444_n.jpg?stp=dst-jpg_s168x128&_nc_cat=106&ccb=1-7&_nc_sid=934829&_nc_ohc=CLaJahoc4wsAX-AM_Rw&_nc_ht=scontent.fbho3-2.fna&oh=00_AfDQw1P0B6on5ruGLrwiTNPuaiapvpTsnkuaYXPAh5jOGw&oe=6500FFCE
7,New York Marathon 2023,https://www.facebook.com/events/844568816779516/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SUN, 5 NOV AT 09:00 EST,36 interested · 32 going,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/320375648_2396214663864131_5057195878021158812_n.jpg?stp=c127.0.1386.924a_dst-jpg_s168x128&_nc_cat=106&ccb=1-7&_nc_sid=934829&_nc_ohc=9OIo9YTyxlUAX_KoaQd&_nc_ht=scontent.fbho3-2.fna&oh=00_AfC0iOUuU9KOecO3f5ZYTbmL4r1ShtV7ydBuuuAIhTUHrw&oe=6500F9C1
8,NEW YORK TAX MARATHON,https://www.facebook.com/events/970242587402604/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,TUES, 26 SEP-28 SEP,Sheraton LaGuardia East Hotel,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/358568848_643580141123965_3860904349810907319_n.jpg?stp=c0.15.168.112a_cp6_dst-jpg_p168x128&_nc_cat=103&ccb=1-7&_nc_sid=934829&_nc_ohc=J_D3BnEER2gAX_Iks9i&_nc_ht=scontent.fbho3-1.fna&oh=00_AfCwdJdbiFGNmseo9ViQvkahBrjj94Ake1T7xlTt7YQNLg&oe=650190C0
9,New York Fashion Festival Week,https://www.facebook.com/events/1474347026638406/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 9 SEP AT 11:00 EDT,Armory Arena,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/357723729_7023806327635463_1416521043475578538_n.jpg?stp=c0.62.168.112a_dst-jpg_p168x128&_nc_cat=111&ccb=1-7&_nc_sid=934829&_nc_ohc=46ofgbJCOFsAX_Tcgiw&_nc_ht=scontent.fbho3-2.fna&oh=00_AfAtQWq6UB4zO7svmf4cQMiHpp0pNDJIaZC2j5g4AoLgAw&oe=65008A15
10,Ung i New York,https://www.facebook.com/events/1719250808526857/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SUN, 10 SEP AT 18:00 EDT,Sjømannskirken i New York,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/373609484_681786093974067_8511553567914374215_n.jpg?stp=c0.10.1440.960a_dst-jpg_s168x128&_nc_cat=109&ccb=1-7&_nc_sid=934829&_nc_ohc=jcKlaIWyWmUAX9BdvET&_nc_ht=scontent.fbho3-1.fna&oh=00_AfC7VXTlxhRzZpd19K1NmQHZs5bO5ixjYtHxmgAbfN0v0A&oe=65006A77
