,Title,Link,Day,Time,Where,Image link
0,የኢትዮጵያ አዲስ አመት ኮንፍረንስ Washington DC,https://www.facebook.com/events/1685164035298085/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,FRI, 8 SEP-10 SEP,Grace and Truth Believers Church,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/374614336_310761488202084_2339630115326991994_n.jpg?stp=c0.38.164.109a_dst-jpg_p75x225&_nc_cat=101&ccb=1-7&_nc_sid=934829&_nc_ohc=K72Fi94pzMgAX9ACAao&_nc_ht=scontent.fbho2-1.fna&oh=00_AfCmUw0c1CqU6mYrc10xDORnrENaajJyvp6o2N1FCX8r2Q&oe=64FE2421
1,"Hamza Namira Live in Washington, D.C.",https://www.facebook.com/events/803628931143666/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,FRI, 8 SEP AT 19:30 EDT,Capital Turnaround,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/353801125_614316344098317_7393133208486394537_n.jpg?stp=c220.0.1608.1072a_dst-jpg_s168x128&_nc_cat=111&ccb=1-7&_nc_sid=934829&_nc_ohc=x4rNTwQwDY0AX9doQOc&_nc_ht=scontent.fbho2-1.fna&oh=00_AfDrz8xC1O_4DJJwvP0Cr4WTnZzL15WgpgAyuSiomY5gNw&oe=64FE7C76
2,"EVA AYLLON "" ETERNAMENTE CRIOLLA "" WASHINGTON D.C.",https://www.facebook.com/events/937157530742290/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SUN, 22 OCT AT 18:30 EDT,"The Howard Theatre 620 T STREET NORTHWEST Washington, District Of Columbia 20001",https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/343658287_1605678136572710_5854451158799380674_n.jpg?stp=c0.18.168.112a_dst-jpg_p168x128&_nc_cat=104&ccb=1-7&_nc_sid=934829&_nc_ohc=tfma4DruRQcAX_6Ueud&_nc_ht=scontent.fbho2-1.fna&oh=00_AfCbF605hYwUmOO3YzRyH-9pzeZd7xHHh3p3PzhnYz7IhA&oe=64FE1F1B
3,Washington DC Brunch Cruise,https://www.facebook.com/events/496979142539772/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SUN, 10 SEP AT 11:30 EDT AND 14 MORE,"580 Water St SW, Washington, DC 20024-2304, United States",https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/322489868_827393278341992_5299392357321026014_n.jpg?stp=c30.0.540.360a_dst-jpg_s168x128&_nc_cat=108&ccb=1-7&_nc_sid=934829&_nc_ohc=0l2_v6UHK5EAX9BSl2o&_nc_ht=scontent.fbho2-1.fna&oh=00_AfC8vLVM_18TNo0Xn8QidFuVVkvTIIwIYyGhci40PMPW7w&oe=64FE845A
4,Washington D.C. Super 10K & Sprint 5K,https://www.facebook.com/events/1210005239580036/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 16 SEP-17 SEP,"27861 Budds Creek Rd., Mechanicsville, MD",https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/315065887_10158780545516861_4285617614497541763_n.jpg?stp=dst-jpg_s168x128&_nc_cat=100&ccb=1-7&_nc_sid=934829&_nc_ohc=TTnT9WvVSRkAX84G0GX&_nc_ht=scontent.fbho2-1.fna&oh=00_AfDVvgq5uSW3IWQvrJB6Km8j7z6iL1G7exFyPkdCNQaf0Q&oe=64FDB3C2
5,"The Lights, Washington DC area",https://www.facebook.com/events/1153709688630749/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 9 SEP AT 16:00 MDT,BAPS Motor Speedway,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/344805979_1162542611089890_5459234468017750108_n.jpg?stp=c140.0.540.360a_dst-jpg_s168x128&_nc_cat=108&ccb=1-7&_nc_sid=934829&_nc_ohc=OgRSKAC2d10AX86-FVV&_nc_oc=AQnBi76A50elyAgXGiNaSCSfnDk-yNbuEuNVJjCk_Itpi5hGtMHZ50ygFW6Z8XQjfUAcE7jVsz3uJh1eWjkdpz-y&_nc_ht=scontent.fbho2-1.fna&oh=00_AfDkoEQn4E8dm5N2bPOioPgjVOH4ncnK_Gg7PeI4YOeD2A&oe=64FD8B21
6,"Depeche Mode ""Memento Mori Tour"" Tickets Washington DC Capital One Arena",https://www.facebook.com/events/499629088820882/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,MON, 23 OCT AT 19:30 EDT,Capital One Arena,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/330141756_608053087801649_5978985211896752816_n.jpg?stp=c129.0.942.628a_dst-jpg_s168x128&_nc_cat=102&ccb=1-7&_nc_sid=934829&_nc_ohc=Kd7IjiG3fnsAX97wIdv&_nc_ht=scontent.fbho2-1.fna&oh=00_AfDjpu0ot38AVndfflAwTZZIkviqy9SYcQMPrszgg-nrcw&oe=64FCC845
7,Moulin Rouge The Musical Tickets Washington DC Kennedy Center Opera House,https://www.facebook.com/events/1528327577694346/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,WED, 6 SEP AT 19:30 EDT AND 10 MORE,Kennedy Center Opera House,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/347134034_960540481739224_3794134419826172902_n.jpg?stp=c129.0.942.628a_dst-jpg_s168x128&_nc_cat=110&ccb=1-7&_nc_sid=934829&_nc_ohc=HKZfEXwshXkAX-6rN8k&_nc_ht=scontent.fbho2-1.fna&oh=00_AfBxLoUeTlaEHVftmi1zglivUwHhhs6_78nytXo_IJUJEQ&oe=64FCDC4A
8,MAROYU - USA TOUR 2023 - WASHINGTON DC - 16 de Septiembre 2023,https://www.facebook.com/events/2429796013861593/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 16 SEP AT 14:00 UTC-06,The Catholic University of America,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/368210416_306791578533266_6150176219745555463_n.jpg?stp=c237.0.630.420a_dst-jpg_s168x128&_nc_cat=106&ccb=1-7&_nc_sid=934829&_nc_ohc=_Zo_Dbx0L4AAX_Cjs_9&_nc_ht=scontent.fbho2-1.fna&oh=00_AfC8Ydi9N3RfTLueFhC-PUIXNZjG6xz3J-HXZDXmcaedhA&oe=64FD2C94
9,Washington DC Scenic Lunch Cruise,https://www.facebook.com/events/1427488007782601/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 9 SEP AT 11:30 EDT AND 12 MORE,Spirit Of Washington Cruise,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/323445384_3232735670369740_8878715447015788215_n.jpg?stp=dst-jpg_s168x128&_nc_cat=111&ccb=1-7&_nc_sid=934829&_nc_ohc=Dof01OMxIaMAX_-PJLj&_nc_ht=scontent.fbho2-1.fna&oh=00_AfB9ZNLobedyxAac2nPyiCSfKL9gw2rr4bUeOpMIuZJGJg&oe=64FE3303
